,newid,region,fam_type,earncomp,bls_urbn,cutenure,age_ref,sex_ref,marital1,educ_ref,inclass,kids,inc,inc.a,food,house,transport,utili,health,enter
3318,2845324,3,3,2,1,1,50,1,1,15,9,1,132931.2,167423.2,6906.6668,8930.6668,15200,4180,17440,1624
3324,3063132,2,3,2,1,1,36,1,1,14,9,1,93906,105605,4160,10862.6668,640,4624,8800,1064
3327,3075011,1,3,2,2,4,54,2,1,12,6,1,33748.6,31651.6,3006.6668,4284,640,1792,2928,240
3328,3051411,3,3,2,1,1,43,1,1,16,9,1,77768,87350,2773.3332,9497.3332,2224,2392,2048,720
3330,2992812,1,3,2,1,4,45,1,1,15,9,1,84756,95500,3986.6668,13352,1420,3672,8581.3328,1816
3333,3081421,3,3,2,1,1,43,1,1,15,9,1,92597.6,107218.6,2253.3332,2884,88,960,4784,464
3335,2846894,3,3,2,1,1,42,2,1,15,9,1,102582.4,120405.4,19064,16264,10060,5608,5216,9380
3343,2874524,1,2,2,1,1,33,1,1,16,9,1,126883.8,156718.8,3280,7090.6668,8789.3332,1092,5760,3960
3345,2803265,2,2,1,1,4,34,1,1,15,9,1,61875,70000,2401.3332,5704,1320,680,9402.6672,1324
3346,2873074,3,2,2,1,1,27,2,1,13,6,1,33073,32000,2166.6668,3865.3332,600,1392,1152,540
3347,2796205,1,2,2,1,4,28,2,1,14,9,1,71027,80000,4213.3332,11840,4121.3332,1448,6656,856
3348,3054614,2,2,2,1,1,27,1,1,12,9,1,80107,91301,2144,10521.3332,976,2340,16496,444
3349,2807475,4,2,2,1,1,35,2,1,16,9,1,104461.4,115844.4,5546.6668,15657.3332,932,1760,6400,1040
3350,2807405,3,3,2,1,1,39,2,1,14,9,1,66075,75300,1910.6668,3936,1380,1468,3440,440
3353,2843914,3,5,2,1,2,62,1,1,13,9,1,99497,118000,8840,3270.6668,4780,2676,5909.3328,1016
3355,2796395,3,2,2,1,1,30,2,1,14,9,1,88820,98000,5026.6668,8700,5980,2896,12800,1680
3362,3080611,4,2,2,2,1,37,1,1,15,9,1,93156,104000,2426.6668,21192,90816,1532,10880,2584
3363,2995052,3,2,2,1,2,31,1,1,14,8,1,54610.2,61121.2,4333.3332,6248,2400,1980,13445.3328,2236
3364,3058452,2,3,2,1,1,39,2,1,12,9,1,68937,78074,2946.6668,7869.3332,3120,2108,8853.3328,432
3367,3073174,3,2,2,1,4,31,2,1,15,9,1,93756,104800,1906.6668,5544,1372,1992,9200,816
3368,3076094,1,2,2,1,1,41,2,1,13,9,1,88741.4,102736.4,1733.3332,8862.6668,600,1388,24266.6672,268
3371,2837984,3,2,2,1,1,28,2,1,15,9,1,117769,135904,10533.3332,42692,3673.3332,3920,6400,3020
3373,2873894,3,2,2,1,1,34,2,1,16,9,1,103896.6,114516.6,4073.3332,10516,1508,1448,3200,1408
3376,2800485,1,3,2,1,1,58,1,1,15,9,1,150116,180000,15520,34871.3332,9424,6588,67840,1360
