,newid,region,fam_type,earncomp,bls_urbn,cutenure,age_ref,sex_ref,marital1,educ_ref,inclass,kids,inc,inc.a,food,house,transport,utili,health,enter
1376,2810925,4,1,2,1,1,57,2,1,13,9,0,90697.6,108193.6,3813.3332,4342.6668,1600,920,2320,1600
1390,2947923,4,1,2,1,2,49,1,1,16,9,0,62115,74000,2961.3332,4664,153.3332,104,2400,1624
1393,2837934,3,1,2,1,1,31,1,1,13,8,0,54034,58000,3173.3332,20222.6668,3848,2584,1280,724
1396,3067474,2,1,2,2,1,51,2,1,15,9,0,74898,83530,1733.3332,11640,1704,2312,19200,912
1397,3005872,3,9,1,1,4,55,1,3,15,8,0,49121,60184,2253.3332,10724,1673.3332,1148,1386.6672,440
1399,3060561,3,1,2,1,2,48,2,1,13,9,0,106317,128200,2426.6668,13584,4000,1836,6080,640
1400,3080942,1,1,2,1,1,48,1,1,13,9,0,65585,75000,3120,6182.6668,1460,1600,7626.6672,1660
1402,3067551,3,1,2,1,1,27,1,1,13,7,0,42390,45003,2600,9216,1280,2100,9386.6672,1176
1403,3081003,3,1,2,1,2,63,1,1,15,9,0,96168,116000,866.6668,7286.6668,1148,6420,17392,556
1404,3001772,4,1,1,1,2,60,2,1,15,8,0,55510,58699,1300,1908,400,1040,10606.4,1740
1411,3067814,1,1,2,1,1,52,1,1,12,9,0,76432.2,90236.2,3640,3452,4432,1272,13866.6672,1424
1413,2990022,3,1,2,1,2,62,1,1,13,9,0,99651,120000,14200,5253.3332,5928,3184,22677.3328,824
1421,2948703,4,1,2,1,4,59,2,1,15,9,0,139313,176000,2600,8488,5676,900,14213.3328,256
1422,2930884,3,1,1,1,1,60,2,1,13,5,0,23942,24330,3466.6668,6890.6668,3800,2120,9746.1328,680
1423,3088313,2,1,2,1,1,33,2,1,15,9,0,74311,83001,1906.6668,7377.3332,2968,1680,8320,1512
1425,2994692,1,1,2,1,2,54,1,1,12,9,0,101299.2,122414.2,6586.6668,10800,5420,5960,12160,1360
1430,3085284,3,9,1,1,2,41,1,5,14,5,0,21799,21459,1906.6668,440,800,268,2718.4,240
1433,3058093,3,1,2,1,1,62,2,1,12,8,0,49499,56918,2600,8664,600,3152,15360,220
1434,3002782,3,1,2,1,2,52,1,1,14,9,0,97589,112785,572,2502,1676,861.3332,10048,100
1436,2794635,3,1,1,1,1,60,2,1,13,8,0,53468,57259,3813.3332,3342.6668,9256,2680,3836.8,880
1439,2813075,4,1,2,1,1,45,2,1,12,9,0,87386,1.00E+05,3293.3332,6588,1160,1840,5253.3328,3896
1440,2867704,2,1,2,1,2,62,1,1,13,9,0,87908.8,105722.8,2594.6668,3870.6668,1676,2568,6768,1208
1443,3058371,3,9,1,2,2,54,2,3,14,8,0,47919.6,51202.6,2253.3332,7628,2913.3332,3764,18076.8,760
1445,2923843,2,1,2,1,1,59,1,1,12,9,0,103198,125000,7626.6668,9104,157104,3532,960,1904
1448,3011162,2,1,2,1,1,61,1,1,13,9,0,72291.6,82204.6,4333.3332,6937.3332,1636,1492,8426.6672,784
1450,2872254,4,1,2,1,4,60,1,1,12,9,0,63598,72000,2652,5848,2904,832,25594.6672,232
1454,3046063,3,1,1,1,4,58,1,1,12,9,0,74876,87000,6453.3332,11756,2444,2924,17888,1548
1461,2991822,1,1,1,1,2,56,2,1,15,9,0,102424.2,114648.2,7973.3332,23364,1872,4384,40604.8,5044
1464,3007942,2,1,2,1,2,31,2,1,16,9,0,94665,115001,2600,3361.3332,3040,1808,3248,2348
1465,2844524,2,1,2,1,1,53,2,1,16,9,0,118535,134550,5672,22265.3332,17088,4928,18000,3348
1470,2873084,2,9,1,1,2,56,1,5,16,9,0,76869.8,93513.8,2808,2000,600,1072,2581.3328,2036
1483,2996582,2,1,2,1,1,60,2,1,12,9,0,77226.8,91783.8,4626.6668,8485.3332,15278.6668,3712,10560,204
1486,3066701,2,1,2,1,1,46,1,1,12,8,0,53123,59551,6240,9376,1992,3640,20629.3328,1080
1488,3008632,4,1,1,1,4,36,1,1,16,9,0,75395,90000,2133.3332,5526.6668,1250.6668,1266.6668,14944,64
1489,2992742,3,1,1,1,1,57,2,1,15,8,0,52091.2,56128.2,4160,18092,6033.3332,2440,64000,1520
1491,3049192,3,1,2,1,1,42,1,1,13,9,0,74186,88000,2045.3332,10901.3332,800,2120,70901.3328,632
1494,2924093,3,1,2,1,2,62,2,1,13,9,0,71333,82000,6240,37841.3332,3356,2588,16800,9392
1495,2872364,4,1,2,1,2,58,1,1,15,9,0,100040.6,116289.6,5200,8690.6668,3300,1380,6933.3328,200
1496,2846794,4,1,2,1,1,38,1,1,12,8,0,61906.4,69070.4,5920,14162.6668,1440,3384,15253.3328,2072
1498,2845624,3,1,2,1,2,58,1,1,12,8,0,46907,50600,2080,2168,1380,1808,10000,512
1499,2837294,3,1,1,2,1,56,1,1,13,5,0,23138,23484,4333.3332,6190.6668,3160,2668,5120,784
1500,2993032,3,1,1,1,4,28,1,1,12,7,0,41079,44814,7706.6668,9496,16814.6668,3896,21568,4768
1506,2951923,3,9,1,1,2,61,2,3,10,8,0,48231.4,51228.4,1622.6668,2254.6668,960,1488,5081.0672,544
1507,3073572,2,1,1,1,1,54,1,1,16,9,0,115297,125582,1906.6668,10852,326.6668,2132,22862.4,1788
1511,2807025,4,1,2,1,1,30,1,1,12,8,0,56543,63000,2946.6668,1848,64206.6668,848,3813.3328,172
1514,2997582,3,1,2,1,1,48,1,1,14,9,0,124957.6,144681.6,6341.3332,21062.6668,11884,1600,21456,2176
1515,2793125,3,1,2,2,2,55,2,1,12,7,0,46058.6,49327.6,2773.3332,3306.6668,3504,1488,15282.1328,1000
1516,2811395,4,1,1,1,1,51,2,1,13,4,0,15639,15300,1040,8004,320,2272,1040,312
1517,3009532,1,1,1,1,2,60,2,1,16,8,0,45106.6,50400.6,3584,3889.3332,1800,1700,5436.8,2720
1518,3077042,2,1,2,1,1,51,2,1,15,9,0,85211,101000,3026.6668,2724,2504,1104,3952,644
1519,2797725,2,1,2,1,2,39,1,1,14,9,0,91711,110000,2946.6668,5237.3332,3276,4256,10400,632
1521,2989592,4,1,2,1,2,62,2,1,13,8,0,46454,50556,3466.6668,5612,3064,4292,9792,1048
1522,3087742,4,9,1,1,1,53,2,3,15,5,0,26339,27400,1126.6668,2262.6668,504,832,496,372
1525,2807325,2,1,2,1,1,58,1,1,15,9,0,63760.4,73327.4,2520,3798.6668,942.6668,1088,7973.3328,560
1526,3074072,3,1,1,1,2,54,1,1,12,9,0,72614.6,80837.6,2253.3332,2540,420,1800,4000,280
1531,2870624,3,1,2,1,2,58,1,1,15,9,0,96098,112100,2652,2158.6668,1524,1112,17481.0672,1084
1533,2926653,4,1,2,1,4,36,2,1,11,9,0,121524,161000,2773.3332,15244,5436,1524,13866.6672,1320
1534,3066811,4,1,1,2,1,62,1,1,12,5,0,20000,20000,1040,7184,400,1044,2912,724
1535,2949853,3,1,1,1,2,63,1,1,12,8,0,58421,65500,3304,2528,433.3332,820,7550.4,2100
1536,2925353,3,1,2,1,1,51,1,1,15,9,0,126015,160000,9533.3332,10848,6008,3604,4096,432
1544,3081731,2,1,2,2,1,53,1,1,15,9,0,116129.6,134334.6,2253.3332,9966.6668,1600,2192,1664,1292
1545,2945443,3,1,2,1,1,59,1,1,16,9,0,117055,140000,3900,12462.6668,1028,2864,3728,1200
1551,3061382,3,1,2,1,1,44,1,1,12,9,0,88272.6,100148.6,5200,10086.6668,3450.6668,2960,7626.6672,2600
1554,3085322,1,9,1,1,1,58,2,3,12,5,0,25927.6,26942.6,2340,4589.3332,1896,2208,1760,952
1557,3068484,3,1,2,1,2,60,2,1,12,9,0,51999,76877,1022.6668,1188.6668,2333.3332,992,1568,244
1559,3068493,3,1,1,1,1,64,1,1,12,8,0,64495.2,68743.2,2513.3332,4528,896,1624,7200,836
1561,2843944,4,1,2,1,1,64,1,1,13,9,0,130580,148366,5522.6668,32009.3332,8570.6668,6004,16992,10616
1562,3074811,3,1,2,1,1,27,1,1,15,9,0,82500,98000,4333.3332,10741.3332,2536,2000,4400,536
1563,2804225,1,1,2,1,1,37,2,1,16,9,0,123338,152154,5321.3332,14562.6668,2064,3096,6933.3328,2460
1567,3085833,2,9,1,1,2,48,2,3,14,6,0,31787.6,33537.6,1820,4346.6668,826.6668,1640,4122.6672,240
1568,2813325,1,1,2,1,4,47,2,1,15,9,0,106532,130000,433.3332,6112,360,420,4000,344
1569,3051231,3,1,2,1,1,30,1,1,15,8,0,48439,52000,3986.6668,16069.3332,1592,2400,23658.6672,2356
1576,3065472,3,1,2,1,2,62,1,1,13,9,0,216589,278000,10400,4928,1600,1760,11200,480
1581,2927953,3,1,1,1,2,64,1,1,15,9,0,88148,96600,5373.3332,11424,2584,3468,11936,3172
1584,2878684,2,1,2,1,1,63,1,1,14,4,0,18397,16800,1906.6668,3597.3332,844,1960,8432,320
1588,3055462,3,1,2,1,1,49,1,1,13,9,0,115703,141150,7800,12634.6668,1066.6668,2680,5760,1760
1590,3062721,2,1,2,2,2,63,2,1,15,6,0,37597.6,37713.6,4826.6668,11756,2416,1312,7328,396
1594,2813975,3,1,2,1,2,55,2,1,15,9,0,108675.8,132776.8,3120,9158.6668,1104,2512,3600,2812
1598,3008332,2,1,2,1,4,37,1,1,15,9,0,87585.4,105993.4,2600,6512,1233.3332,1840,5557.3328,1656
1602,3055904,2,1,2,2,2,60,2,1,12,8,0,59499,65414,624,2685.3332,304,1012,13760,472
1606,2845104,3,1,2,1,2,55,2,1,13,9,0,62360,71638,3640,5732,2124,3400,10624,1544
1608,3076014,3,1,2,1,1,53,2,1,15,8,0,57037.8,67344.8,1906.6668,5309.3332,3612,3852,8880,632
1609,3052644,3,1,2,1,2,54,2,1,14,9,0,68498.4,81469.4,11960,4469.3332,1456,2104,5738.6672,1208
1611,2810545,1,1,2,1,2,53,2,1,12,7,0,39603.2,43443.2,3293.3332,4333.3332,620,2840,6933.3328,320
1612,2932843,4,1,1,1,1,63,2,1,13,9,0,84918,94600,2946.6668,15181.3332,5008,3280,74.6672,3514.6668
1615,2992712,4,1,2,1,1,45,1,1,13,9,0,63572,74005,6240,10277.3332,1988,3632,61888,3080
1618,3047033,3,1,2,1,1,56,1,1,15,9,0,238380.4,313300.4,22320,35210.6668,3116,3956,5664,1524
1619,2845454,4,1,2,1,4,33,2,1,14,9,0,86598,102000,9813.3332,17120,3436,2168,9434.6672,4028
1622,2923193,2,1,2,1,1,56,1,1,12,8,0,59225,67890,3466.6668,11408,4000,3304,20000,872
1628,2989132,4,1,2,1,1,63,1,1,14,9,0,75599,92001,5994.6668,10261.3332,5086.6668,3152,9536,676
1630,2792825,2,1,2,1,1,60,1,1,16,9,0,169747.8,211240.8,3626.6668,30618,12506.6668,3780,56000,6944
1634,2933663,3,1,2,1,2,56,2,1,14,9,0,127965,161100,3120,16078.6668,1280,2840,29930.6672,940
1635,3088471,3,1,2,1,1,50,1,1,13,8,0,65723,69604,2166.6668,4786.6668,748,1756,33136,5832
1636,3076902,3,1,2,1,4,28,2,1,15,8,0,48620.2,52609.2,1126.6668,2933.3332,2160,400,720,32
1637,2803645,4,1,1,1,2,61,1,1,16,9,0,88179,1.00E+05,3746.6668,1624,18432,1032,5520,80
1640,3070672,3,1,2,1,4,27,2,1,16,8,0,56582,66000,4373.3332,4260,860,612,4320,2264
1644,2799095,2,1,2,1,2,59,1,1,15,7,0,40357.8,43842.8,4472,5758.6668,5580,3308,43034.6672,1224
1645,2993832,3,1,2,1,1,51,1,1,15,9,0,122413,145000,4680,8829.3332,6136,5144,18304,1832
1648,2870404,1,1,2,1,2,49,2,1,12,9,0,80056,93000,1733.3332,6328,1680,2004,480,252
1649,2993962,2,1,2,1,1,42,2,1,13,9,0,145390.6,183727.6,6066.6668,11932,7168,4140,4160,2436
1653,3067764,3,1,1,1,4,28,1,1,15,9,0,75246,90000,3773.3332,5126.6668,885.3332,520,1728,240
1657,2931073,1,1,2,1,4,31,1,1,16,9,0,95071.4,113875.4,21093.3332,13820,9678.6668,2304,15200,4968
1662,2869714,4,1,2,1,1,44,2,1,12,8,0,62085,69684,2080,5346.6668,2104,1036,2560,744
1665,2869784,4,1,2,1,1,39,2,1,16,9,0,93028,108180,3481.3332,7028,1613.3332,1044,1792,228
1673,2953643,3,9,1,1,4,47,1,5,13,6,0,40220,38259,1213.3332,2932,660,1200,1678.4,440
1675,2877654,2,1,1,1,2,64,2,1,16,9,0,81046,98376,2340,3500,533.3332,1552,6640,3992
1676,3007332,3,1,2,1,1,47,1,1,14,5,0,25901.6,26551.6,2520,2170.6668,80,700,1248,140
1679,2952233,1,1,2,1,1,51,1,1,16,9,0,102125,115020,2340,10049.3332,2120,1940,5066.6672,308
1680,3054662,3,1,2,1,4,38,2,1,13,9,0,92306,109000,4853.3332,10152,4316,1912,11520,880
1688,2946053,4,1,2,1,4,51,2,1,11,5,0,28166,28361,1300,5156,361.3332,748,240,496
1694,3071983,3,1,1,1,1,49,2,1,12,7,0,41343.8,42286.8,1386.6668,21856,760,1164,912,588
1703,3063914,3,1,2,2,2,34,1,1,13,8,0,44198,50000,2600,3426.6668,4978.6668,3040,6400,600
1705,2806325,1,1,2,1,2,53,1,1,13,9,0,74702.4,86046.4,1733.3332,1469.3332,484,616,2400,220
1713,3011012,1,1,2,1,1,48,1,1,15,9,0,114610.4,137717.4,2686.6668,8444,1729.3332,2356,4197.3328,1008
1714,3060334,3,1,1,1,2,58,1,1,12,9,0,89158,1.00E+05,7072,4841.3332,5445.3332,3040,8960,2144
1715,2806335,3,1,2,1,1,58,2,1,13,9,0,121929,145000,1040,5800,653.3332,2736,640,640
1717,2838274,1,1,2,1,2,62,2,1,11,9,0,70390,80000,3120,4842.6668,3428,3580,9927.4672,2344
1725,3048931,2,1,2,2,1,50,2,1,14,9,0,81772.2,91617.2,5857.3332,6617.3332,5780,2920,5120,1912
1726,2925713,3,1,2,1,4,54,1,1,15,5,0,21827,21811,3501.3332,7464,2780,2240,11861.3328,756
1727,3057614,3,1,2,1,2,51,2,1,12,7,0,42269,46705,5800,4428,12049.3332,2220,6378.6672,568
1731,3073081,4,1,2,1,1,45,2,1,14,9,0,127411,154700,4160,8285.3332,1564,1300,58048,1888
1739,3078551,3,1,2,1,1,28,1,1,13,8,0,48897,55990,2065.3332,5560,3792,1232,480,472
1740,2997502,3,9,1,1,2,34,1,1,12,9,0,67303.4,73696.4,13693.3332,1776,7940,1344,3356.8,768
1742,2876564,4,1,1,1,4,58,2,1,12,6,0,33948,33459,346.6668,5640,400,440,3342.4,32
1745,3008932,2,1,2,1,2,62,1,1,12,8,0,48375,55003,2166.6668,3785.3332,1100,2052,4085.3328,800
1748,2925583,2,9,1,1,4,48,1,3,14,8,0,44465,50000,2874.6668,6016,1930.6668,736,6794.6672,1552
1749,2947963,1,1,2,1,4,34,2,1,12,8,0,57976,66000,2600,3560,726.6668,1340,8650.6672,600
1750,2995252,4,1,2,1,1,45,2,1,13,9,0,103689,128456,6760,16400,1752,4324,10848,808
1751,2845004,3,1,2,1,1,38,1,1,15,9,0,170490,221595,6600,14013.3332,8210.6668,2652,13045.3328,2908
1753,2841124,4,9,1,1,1,60,1,5,16,8,0,49570,55333,866.6668,4217.3332,173.3332,1816,8903.4672,104
1756,3067354,2,1,2,1,1,54,2,1,10,9,0,156765,196000,2946.6668,16381.3332,3300,3664,8320,664
1759,3073662,4,1,2,1,2,62,1,1,13,9,0,191085.6,223132.6,6633.3332,18941.3332,2314.6668,2980,20030.4,1496
1761,2925943,1,1,2,1,4,36,2,1,13,9,0,66172,76000,5546.6668,13064,3088,2280,41600,1376
1769,2993282,3,1,2,1,4,58,2,1,15,5,0,26361,26433,4853.3332,7280,1932,1240,5920,776
1772,3056032,3,1,2,1,1,32,2,1,15,9,0,112574,133000,6141.3332,24170,254400,2880,800,4696
1775,3075833,1,1,2,2,1,51,1,1,15,9,0,72418,80050,3380,5496,1041.3332,940,3258.6672,60
1777,2871594,3,1,2,1,1,61,2,1,15,9,0,74967.8,80285.8,1906.6668,15701.6668,1889.3332,1988,3248,332
1780,3075991,2,9,1,1,1,56,1,3,12,8,0,43984,51000,1733.3332,4613.3332,2388,1040,2010.6672,432
1781,2932523,3,9,1,1,1,45,1,5,13,8,0,48614.8,51219.8,8320,5721.3332,2080,1928,10450.1328,616
1782,3011022,2,1,2,1,1,35,2,1,15,9,0,164958,212008,5893.3332,5690.6668,4153.3332,1408,15498.6672,340
1787,3009252,3,9,1,1,1,49,2,3,16,7,0,37464,40487,1560,5630.6668,500,836,10272,592
1788,2841214,3,1,2,1,1,53,2,1,13,9,0,80935.6,90633.6,2472,11813.3332,6980,3200,9504,472
1789,3060274,3,1,2,1,2,56,1,1,15,9,0,67102,78235,6933.3332,13638.6668,4736,1616,12224,940
1794,3011182,4,4,1,1,4,48,2,1,12,6,0,32266,31000,1958.6668,5404,2000,824,4800,348
1804,2795465,2,4,2,1,1,46,2,1,13,9,0,95553,115845,5754.6668,8541.3332,6400,3076,18240,4984
1806,2844344,4,4,1,1,4,58,1,1,15,6,0,35955,36000,5200,28214.6668,5600,2126.6668,384,560
1817,2799495,3,4,2,1,2,56,1,1,13,9,0,81439.2,94405.2,6933.3332,8412,4920,3648,15360,2364
1840,2795715,4,4,2,1,1,47,1,1,13,9,0,149106,176000,7973.3332,23314.6668,4485.3332,7440,11824,1536
1847,3005942,3,4,2,1,1,48,2,1,13,9,0,101412,119444,2426.6668,9582.6668,1276,1964,11200,712
1849,3064663,2,4,2,1,2,48,2,1,13,8,0,59123,65617,7184,6861.3332,3540,5136,16400,928
1852,2845134,4,4,2,1,2,46,2,1,15,9,0,161622.4,200923.4,11373.3332,39208,11996,5492,85856,5344
1855,2870434,3,5,2,1,1,50,2,1,13,9,0,113074.4,128013.4,3553.3332,8501.3332,1274.6668,1704,9610.6672,3524
1858,3059182,3,9,1,1,1,27,1,5,13,5,0,28575,28368,3013.3332,6189.3332,2258.6668,2224,6400,864
1859,2810635,2,4,2,2,1,46,2,1,12,9,0,129637.4,153975.4,2773.3332,9132,5905.3332,3320,18864,524
1883,2841934,3,9,1,1,1,41,1,5,15,5,0,22421,22038,4506.6668,7600,1420,1920,19049.6,428
1887,3059854,3,4,2,2,1,44,1,1,12,9,0,115387,135000,10746.6668,11926.6668,6737.3332,5212,4800,1600
1895,3088072,3,5,1,1,2,61,1,1,13,9,0,79399.8,89075.8,2253.3332,3770.6668,637.3332,1684,9929.0672,504
1902,2803445,3,5,2,1,2,53,2,1,14,9,0,76244,81955,1906.6668,4274.6668,1664,3140,7246.4,400
1929,2805345,2,5,2,1,1,53,1,1,15,9,0,199827,236259,4686.6668,18996,62853.3332,4880,21086.4,1852
1930,2925273,3,4,2,1,1,59,2,1,12,9,0,122887,145000,13000,17481.3332,2980,3496,28720,2016
1931,2988902,1,4,1,1,1,57,1,1,16,9,0,93846,106410,7626.6668,20073.3332,3509.3332,5328,10538.6672,720
1964,2994473,3,9,1,1,4,48,2,3,12,6,0,38636,38866,3466.6668,15016,1268,3440,1280,232
1995,3059011,3,4,2,1,1,50,2,1,13,9,0,97333.6,110928.6,10400,8572,3856,4000,9429.3328,1200
1998,3058221,3,9,1,1,1,57,2,2,12,5,0,27711,24748,8496,6758.6668,1728,2868,5264,480
2001,3065974,1,5,2,1,1,53,2,1,15,9,0,121605.8,139621.8,5720,17309.3332,5242.6668,4484,28202.6672,848
2011,3067781,1,5,2,2,1,50,2,1,12,9,0,73857,78422,1733.3332,8013.3332,944,3600,8985.0672,288
2017,3076602,3,4,2,1,1,55,2,1,14,8,0,54064,60625,1820,3918.6668,1002.6668,1800,28800,40
2030,2930123,1,4,2,1,1,47,1,1,13,9,0,69571.8,73575.8,8320,24581.3332,12872,4796,19242.6672,1076
2033,2792005,3,8,1,1,1,60,1,2,12,5,0,21663,23920,3813.3332,6016,3324,4016,6517.3328,1056
2037,2873664,1,8,1,1,4,51,1,3,16,8,0,50069,60139,1473.3332,8038.6668,2850.6668,1924,4992,1480
2040,2873754,3,8,1,1,1,60,1,1,15,9,0,92144,115050,6293.3332,14594.6668,5052,2072,7056,1396
2041,3052744,3,8,1,1,1,60,2,5,15,7,0,37180,43620,2773.3332,4948,2204,1220,14144,4220
2042,2996982,1,8,1,1,4,39,1,5,15,8,0,52649,63000,2426.6668,14096,3796,1316,5024,1224
2043,2873804,4,8,1,1,1,52,1,1,12,9,0,83641,94277,3224,10390.6668,416,972,5248,420
2044,2806125,3,8,1,1,1,41,2,5,16,9,0,88030.4,109005.4,1282.6668,7837.3332,888,1288,3285.3328,2640
2045,2997112,4,8,1,1,4,47,1,5,15,9,0,58694.4,74888.4,8493.3332,29032,981.3332,3520,19200,1104
2046,2792385,3,8,1,1,4,46,1,5,14,8,0,51920,65000,4853.3332,7152,1280,1432,3200,568
2048,2792435,4,8,1,1,1,48,1,1,15,8,0,48988,60000,5546.6668,9306.6668,1600,2488,8000,428
2049,2874064,3,8,1,1,1,63,2,2,15,9,0,129604.2,168920.2,2846.6668,17464.3332,4781.3332,2720,46442.6672,980
2052,2929563,2,8,1,1,1,55,2,3,12,8,0,48976,58600,1317.3332,9581.3332,2592,2676,2576,1400
2053,2997242,2,8,1,1,2,50,1,3,14,8,0,47867.4,58687.4,6413.3332,6573.3332,3930.6668,2468,18026.6672,1328
2054,2874414,3,8,1,1,4,48,1,1,12,4,0,14097,15000,1560,3988,80,1040,1040,340
2055,3009132,3,8,1,1,1,62,2,5,16,8,0,49894,59000,1106.6668,2913.3332,1220,2040,5728,480
2056,3063754,2,8,1,2,2,55,2,5,16,5,0,27972.8,27742.8,2600,4845.3332,3432,2072,7116.8,64
2058,2929753,2,8,1,1,4,45,1,3,13,6,0,30854,36000,1906.6668,7549.3332,2669.3332,661.3332,11029.3328,240
2060,2792885,3,8,1,1,1,36,1,1,12,8,0,57987,66000,9533.3332,12261.3332,4746.6668,3580,11946.6672,1000
2061,2792925,4,8,1,1,1,27,2,5,16,7,0,42728,49000,5453.3332,26284,3381.3332,1636,1754.6672,1080
2062,2997562,3,8,1,1,4,46,1,3,15,8,0,42186,50000,1906.6668,5512,1360,640,3680,680
2063,2842264,2,8,1,1,1,54,2,3,15,8,0,47142.2,53871.2,2426.6668,8533.3332,1224,3200,13034.6672,560
2067,2807175,3,8,1,2,4,34,1,4,14,7,0,34776,41000,1286.6668,2868,1160,688,3381.3328,292
2072,3009762,4,8,1,1,1,45,1,3,15,8,0,58138,66000,2640,26616,7413.3332,1104,3200,4440
2073,2807305,2,8,1,1,4,35,1,5,15,7,0,36456,43000,1993.3332,3480,1496,480,1562.6672,732
2076,2793465,4,8,1,1,1,43,2,5,16,8,0,50735,58000,4333.3332,11249.3332,1644,1140,4960,144
2077,3064263,3,8,1,2,2,40,1,5,14,8,0,53830,63000,5373.3332,3690.6668,7172,2824,8181.3328,11000
2078,2807505,2,8,1,1,4,57,1,3,13,3,0,11750,10550,2486.6668,2836,160,120,96,1472
2081,2807615,1,8,1,1,1,53,1,5,12,8,0,48577,58000,2426.6668,6315.3332,4296,1140,11200,1200
2082,2807645,3,8,1,1,1,54,1,5,15,9,0,78993,99000,2993.3332,15980,1324,4994.6668,3786.6672,1948
2084,2807685,3,8,1,1,1,62,2,3,13,7,0,42646,49000,953.3332,4370.6668,592,1188,2842.6672,320
2086,2793815,2,8,1,1,4,60,2,3,13,6,0,30900,35000,1386.6668,7648,1153.3332,912,3829.3328,712
2088,2875514,3,8,1,1,1,28,1,5,15,7,0,42678,48300,1812,4578.6668,2386.6668,1436,320,396
2099,2794335,4,8,1,1,4,60,2,3,13,9,0,81766,107888,7397.3332,18140,5254.6668,1392,2090.6672,1648
2109,2794755,1,8,1,1,4,38,1,5,13,6,0,30624,35000,3120,9076,5844,1716,3349.3328,1320
2113,2794935,3,8,1,1,1,46,1,4,12,1,0,2153,2000,1733.3332,3329.3332,2133.3332,1840,320,160
2115,3065314,1,8,1,2,1,53,2,3,16,6,0,37567,39845,2744,13217.3332,3214.6668,2984,6304,800
2117,2795155,4,8,1,1,4,28,2,5,13,5,0,25388,28000,2253.3332,6640,704,1068,2080,1112
2118,3011124,4,8,1,1,4,30,1,5,15,2,0,6171.6,5758.6,1666.6668,6652,2386.6668,512,2528,493.3332
2124,2795335,1,8,1,1,4,37,1,5,15,8,0,48299,58000,11786.6668,11676,1560,1440,1525.3328,1600
2130,2999582,2,8,1,1,1,28,1,5,15,9,0,60511,72000,3466.6668,8924,12,1912,2080,1308
2142,3000032,3,8,1,1,4,45,1,5,15,8,0,53080,62000,4658.6668,9620,7468,1320,16800,4464
2148,2809855,3,8,1,1,4,56,2,2,12,6,0,29475,34220,1300,3132,480,632,560,116
2151,2809975,2,8,1,1,1,38,2,5,13,6,0,30634.8,34743.8,1473.3332,3125.3332,120,1028,208,1052
2152,2932563,3,8,1,1,1,54,2,4,13,2,0,8686,8216,2773.3332,2312,880,1245.3332,7114.6672,560
2153,2955703,2,8,1,1,4,38,1,5,12,6,0,29630,33630,2773.3332,4492,200,820,800,1452
2155,3066633,3,8,1,1,4,30,1,5,16,6,0,34233.2,37981.2,3482.6668,7496,160,1096,3605.3328,840
2156,3000552,1,8,1,1,2,57,1,5,15,9,0,84696,110250,2253.3332,2070.6668,620,620,485.3328,468
2158,2796605,2,8,1,1,4,29,2,5,15,9,0,79255.2,103925.2,5546.6668,12578.6668,3040,1380,4864,1200
2161,3000702,4,8,1,1,1,51,2,3,15,9,0,117898,135000,6266.6668,18528.6668,7120,1300,2848,7528
2163,3000742,4,8,1,1,4,55,1,5,13,8,0,47109,57232,3813.3332,5956,1724,600,640,400
2167,2796885,2,8,1,1,1,57,2,5,16,9,0,80113,1.00E+05,2080,15876,21017.3332,2516,17536,3668
2168,2878574,4,8,1,1,4,57,2,3,13,7,0,41645.2,49013.2,866.6668,6200,480,808,6400,284
2173,3001232,3,8,1,1,1,64,1,1,16,9,0,90085,111283,3033.3332,5870.6668,325.3332,2436,8478.4,2408
2175,2878734,2,8,1,1,1,47,1,3,15,9,0,63010,78038,2766.6668,5968,2205.3332,784,698.6672,440
2180,3067333,3,8,1,1,1,62,2,3,15,4,0,18072,17908,4437.3332,7165.3332,512,2840,175552,680
2199,2811875,2,8,1,1,1,56,1,2,13,9,0,74140,94000,1560,3194.6668,244,2328,3200,504
2200,2944803,4,8,1,1,1,54,1,3,12,8,0,45886,56000,4624,2909.3332,1396,800,4960,400
2203,3002042,3,8,1,1,1,31,2,5,16,7,0,36484,42060,2850.6668,5649.3332,484,1512,1952,2840
2204,3046992,4,8,1,1,1,49,1,4,15,7,0,41811.6,49839.6,866.6668,2289.3332,480,520,8224,32
2205,2798155,1,8,1,1,1,30,1,5,15,6,0,27634,30000,1877.3332,12205.3332,960,1824,1664,144
2214,2812315,1,8,1,1,1,33,2,5,15,9,0,93685,112000,2676,15178.6668,1708,748,2501.3328,1192
2223,3002612,2,8,1,1,1,38,1,4,13,5,0,23390,25000,780,6530.6668,528,1292,1856,600
2226,3078464,2,8,1,2,4,54,1,3,13,9,0,70672.4,85443.4,2600,3312,2900,372,20752,760
2228,3002762,2,8,1,1,4,30,1,5,15,9,0,70063,89000,1040,5652,974.6668,312,730.6672,1612
2231,2799035,3,8,1,1,2,62,2,5,14,6,0,34412,37090,3610.6668,8117.3332,680,2984,42853.3328,1132
2232,2799085,3,8,1,1,1,41,1,5,15,7,0,39789,45100,4013.3332,11169.3332,3700,1632,960,2152
2237,2946013,3,8,1,1,1,55,2,2,16,9,0,67535,79005,10016,6481.3332,800,1876,12464,220
2239,3003072,4,8,1,1,4,30,1,5,13,6,0,29574,33000,2426.6668,4442.6668,2086.6668,640,869.3328,352
2241,2923913,4,8,1,1,4,35,1,5,10,6,0,31324.4,35405.4,10920,15664,3060,960,5936,960
