region,fam_type,earncomp,bls_urbn,cutenure,age_ref,sex_ref,marital1,educ_ref,inclass,kids,inc,food,house,transport,utili,health,enter
2,1,2,2,2,61,1,1,12,7,0,46298,3245.3332,4233.3332,640,3100,12800,864
1,1,2,1,1,47,2,1,14,9,0,67612,7626.6668,11289.3332,4132,3316,8944,980
4,1,2,1,1,53,2,1,13,8,0,63446.2,2166.6668,6197.3332,848,720,9920,3796
4,1,2,1,1,55,1,1,15,9,0,146589.8,2253.3332,12020,2900,1516,9397.3328,1144
4,1,2,1,1,59,2,1,14,9,0,82282,6000,23412,11414.6668,7188,7040,4108
3,9,1,1,1,55,2,3,15,8,0,54154,6714.6668,13446.6668,11184,4160,5120,4664
2,1,2,1,1,58,2,1,12,8,0,53623.2,5546.6668,7077.3332,4104,3592,4896,1328
2,1,2,1,1,57,2,1,15,9,0,65298.4,1993.3332,7037.3332,968,2272,8650.6672,1480
1,1,2,1,1,63,2,1,14,9,0,66278.2,5373.3332,7029.3332,3756,2296,7596.8,1552
3,1,2,1,4,57,1,1,14,9,0,127360,8620,12896,2924,4536,14464,760
3,1,2,1,1,63,1,1,14,7,0,42943,4506.6668,11548,3268,3776,20544,800
4,1,2,1,1,57,2,1,13,9,0,90697.6,3813.3332,4342.6668,1600,920,2320,1600
4,1,2,1,2,49,1,1,16,9,0,62115,2961.3332,4664,153.3332,104,2400,1624
3,1,2,1,1,31,1,1,13,8,0,54034,3173.3332,20222.6668,3848,2584,1280,724
2,1,2,2,1,51,2,1,15,9,0,74898,1733.3332,11640,1704,2312,19200,912
3,9,1,1,4,55,1,3,15,8,0,49121,2253.3332,10724,1673.3332,1148,1386.6672,440
3,1,2,1,2,48,2,1,13,9,0,106317,2426.6668,13584,4000,1836,6080,640
1,1,2,1,1,48,1,1,13,9,0,65585,3120,6182.6668,1460,1600,7626.6672,1660
3,1,2,1,1,27,1,1,13,7,0,42390,2600,9216,1280,2100,9386.6672,1176
3,1,2,1,2,63,1,1,15,9,0,96168,866.6668,7286.6668,1148,6420,17392,556
4,1,1,1,2,60,2,1,15,8,0,55510,1300,1908,400,1040,10606.4,1740
1,1,2,1,1,52,1,1,12,9,0,76432.2,3640,3452,4432,1272,13866.6672,1424
